epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,34864.3,1.32876,0.9989,1.05296,0.62005,0.52298,0.5518,0.34692,1.29187,0.97203,1.06009,0.000634322,0.000634322,0.000634322
90,35250.4,1.31824,0.98783,1.05041,0.62973,0.5213,0.55406,0.3486,1.29029,0.96854,1.05929,0.000627368,0.000627368,0.000627368
91,35636.2,1.32245,0.98827,1.04983,0.63105,0.52088,0.55441,0.34901,1.29295,0.96981,1.06073,0.000620396,0.000620396,0.000620396
92,36036.3,1.32139,0.98303,1.04929,0.62139,0.52804,0.55397,0.34876,1.29319,0.97127,1.06061,0.000613406,0.000613406,0.000613406
93,36429.6,1.32391,0.98532,1.04911,0.6218,0.52916,0.55377,0.34885,1.29286,0.97157,1.06002,0.0006064,0.0006064,0.0006064
94,36828.2,1.3162,0.97869,1.0469,0.62291,0.52438,0.55331,0.34798,1.29236,0.9724,1.05943,0.00059938,0.00059938,0.00059938
95,37220.4,1.31268,0.97699,1.0457,0.62528,0.52258,0.55363,0.34871,1.29125,0.97267,1.05904,0.000592349,0.000592349,0.000592349
96,37612.3,1.30826,0.97399,1.04654,0.62035,0.52894,0.55379,0.34893,1.29095,0.96976,1.05922,0.000585307,0.000585307,0.000585307
97,38009.8,1.31826,0.97763,1.04714,0.62123,0.52634,0.55211,0.34871,1.29088,0.96964,1.05915,0.000578256,0.000578256,0.000578256
98,38412.8,1.31002,0.96988,1.04372,0.62125,0.52625,0.55347,0.34922,1.28948,0.96701,1.05799,0.000571198,0.000571198,0.000571198
99,38817.1,1.30724,0.96469,1.04512,0.61685,0.53137,0.55344,0.3485,1.28969,0.96673,1.05792,0.000564135,0.000564135,0.000564135
100,39203.5,1.31168,0.97095,1.0457,0.61759,0.52804,0.55415,0.35003,1.28842,0.96469,1.05731,0.000557068,0.000557068,0.000557068
101,39599.6,1.30891,0.96545,1.04453,0.62074,0.52526,0.55557,0.35052,1.28745,0.96195,1.05627,0.00055,0.00055,0.00055
102,39992.1,1.30497,0.96046,1.04228,0.62376,0.52356,0.55583,0.35029,1.28803,0.96104,1.05622,0.000542932,0.000542932,0.000542932
103,40398.1,1.30469,0.95951,1.04365,0.61836,0.53026,0.55763,0.35127,1.28871,0.95908,1.05701,0.000535865,0.000535865,0.000535865
104,40785.1,1.30501,0.95971,1.04166,0.62565,0.52665,0.55775,0.35142,1.28735,0.95853,1.05685,0.000528802,0.000528802,0.000528802
105,41171.9,1.30353,0.95628,1.04188,0.62858,0.52793,0.55855,0.35248,1.28738,0.95818,1.05691,0.000521744,0.000521744,0.000521744
106,41557.3,1.29619,0.95412,1.03855,0.62366,0.53062,0.55862,0.35239,1.28708,0.95787,1.05669,0.000514693,0.000514693,0.000514693
107,41969.1,1.30383,0.95479,1.03957,0.62015,0.53099,0.55855,0.35267,1.28677,0.95758,1.05646,0.000507651,0.000507651,0.000507651
108,42373.8,1.30217,0.94967,1.03866,0.6304,0.52541,0.55804,0.35277,1.28626,0.95719,1.05606,0.00050062,0.00050062,0.00050062
109,42759.3,1.29758,0.95108,1.0404,0.6341,0.52244,0.55743,0.35221,1.28597,0.95716,1.0559,0.0004936,0.0004936,0.0004936
110,43150.3,1.29755,0.94783,1.04166,0.62734,0.52707,0.55739,0.35198,1.28593,0.95711,1.05593,0.000486594,0.000486594,0.000486594
111,43536.9,1.30008,0.9521,1.0392,0.63007,0.52563,0.55856,0.35201,1.28567,0.95724,1.05603,0.000479604,0.000479604,0.000479604
112,43923.7,1.29671,0.94404,1.03928,0.62385,0.53065,0.55809,0.35226,1.28531,0.9578,1.05594,0.000472632,0.000472632,0.000472632
113,44326.3,1.29181,0.93716,1.0371,0.62179,0.53202,0.55882,0.35268,1.28548,0.95729,1.05634,0.000465678,0.000465678,0.000465678
114,44718.8,1.29639,0.94349,1.03779,0.62062,0.53433,0.55905,0.35305,1.28612,0.95685,1.05652,0.000458746,0.000458746,0.000458746
115,45129.4,1.28759,0.93584,1.0361,0.61842,0.53683,0.55921,0.35326,1.28596,0.95621,1.05652,0.000451836,0.000451836,0.000451836
116,45515.6,1.29219,0.93818,1.03602,0.61996,0.53718,0.55964,0.3532,1.28571,0.95547,1.05645,0.00044495,0.00044495,0.00044495
117,45902.3,1.2822,0.92879,1.03301,0.61932,0.53866,0.55943,0.35316,1.28543,0.95464,1.05637,0.00043809,0.00043809,0.00043809
118,46294,1.28233,0.92701,1.03454,0.6229,0.53481,0.55981,0.35302,1.2857,0.95466,1.05639,0.000431257,0.000431257,0.000431257
119,46681.5,1.28316,0.92681,1.03106,0.62854,0.53149,0.55974,0.35275,1.28598,0.95483,1.05651,0.000424454,0.000424454,0.000424454
120,47068.2,1.28059,0.92459,1.03187,0.6235,0.53367,0.55957,0.3528,1.28576,0.95407,1.05619,0.000417682,0.000417682,0.000417682
121,47459.6,1.28224,0.92383,1.03441,0.62542,0.53365,0.55965,0.35302,1.2858,0.95364,1.05601,0.000410942,0.000410942,0.000410942
122,47845.4,1.27801,0.92363,1.03383,0.62379,0.53479,0.55978,0.35321,1.2856,0.95334,1.05582,0.000404237,0.000404237,0.000404237
123,48231.7,1.27765,0.92169,1.03117,0.62586,0.5343,0.56022,0.35342,1.28555,0.95286,1.05571,0.000397568,0.000397568,0.000397568
